State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,0:00,1/1/2016,9:00,34,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,1:00,1/1/2016,10:00,47,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,2:00,1/1/2016,11:00,52,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,3:00,1/1/2016,12:00,51,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,4:00,1/1/2016,13:00,54,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,5:00,1/1/2016,14:00,65,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,6:00,1/1/2016,15:00,46,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,7:00,1/1/2016,16:00,64,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,8:00,1/1/2016,17:00,43,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,9:00,1/1/2016,18:00,60,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,62201,1,64.84569,-147.727413,WGS84,Relative Humidity ,1/1/2016,10:00,1/1/2016,19:00,57,Percent relative humidity,1,,,Non-FRM,61,Instrumental - Met One 083D,Alaska,Fairbanks North Star ,6/21/2016
