State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,0:00,1/1/2016,9:00,0.72,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,1:00,1/1/2016,10:00,0.82,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,2:00,1/1/2016,11:00,0.73,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,3:00,1/1/2016,12:00,0.67,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,4:00,1/1/2016,13:00,0.45,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,5:00,1/1/2016,14:00,0.39,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,6:00,1/1/2016,15:00,0.39,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,7:00,1/1/2016,16:00,0.38,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,8:00,1/1/2016,17:00,0.44,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
2,90,34,42101,1,64.84569,-147.727413,WGS84,Carbon monoxide,1/1/2016,9:00,1/1/2016,18:00,0.5,Parts per million,0.02,,,FRM,554,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,Alaska,Fairbanks North Star ,6/27/2016
