site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
2849,2016-01-01,0,7.88,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,1,7.09,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,2,6.23,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,3,4.71,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,4,3.59,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,5,4.58,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,6,4.59,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,7,5.17,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,8,8.22,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,9,10.71,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,10,12.52,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,11,14.62,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,12,15.78,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,13,16.27,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,14,16.79,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,15,16.71,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,16,15.70,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,17,12.00,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,18,11.54,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,19,11.78,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,20,11.21,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,21,10.81,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,22,9.30,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
2849,2016-01-01,23,9.40,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,AIRS,A60,0,Glendora-Laurel 
3774,2016-01-01,0,8.79,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,1,7.96,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,2,7.00,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,3,6.81,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,4,6.31,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,5,6.40,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,6,5.88,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,7,6.49,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,8,9.86,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,9,12.49,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,10,14.61,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,11,16.25,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,12,17.14,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,13,18.06,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,14,17.90,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,15,17.51,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,16,16.39,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,17,14.20,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,18,12.50,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,19,12.51,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
3774,2016-01-01,20,11.14,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,,,A60,0,Long Beach-2425 Webster Street           
