site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
2849,A,2015-01-01,0,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,1,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,2,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,3,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,4,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,5,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,6,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,7,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,8,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,9,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,10,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,11,25.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,12,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,13,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
2849,A,2015-01-01,14,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Glendora-Laurel 
