site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2014-01-01,0,0.3571,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,1,0.2505,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,2,0.2277,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,3,0.1787,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,5,0.1060,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,6,0.0985,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,7,0.0875,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,8,0.0993,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,9,0.2047,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,10,0.3055,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,11,0.3070,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,12,0.2137,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,13,0.2160,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,14,0.2243,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,15,0.3993,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,16,0.5423,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,17,0.3972,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,18,0.2590,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,19,0.1580,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,20,0.0783,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,21,0.0773,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,22,0.0643,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2014-01-01,23,0.0411,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2014-01-01,0,2.5907,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,1,2.6568,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,2,0.8662,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,3,0.9298,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,5,1.2512,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,6,0.9868,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,7,1.3647,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,8,1.7608,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,9,1.3605,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,10,1.0075,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,11,1.0128,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2014-01-01,12,0.9575,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
