site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-01,9,0.0294,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,10,0.0326,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,11,0.0368,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,12,0.0406,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,13,0.0434,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,14,0.0439,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,15,0.0433,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,16,0.0387,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,17,0.0351,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,18,0.0216,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,19,0.0075,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,20,0.0062,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,21,0.0064,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,22,0.0066,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-02,0,0.0312,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,1,0.0310,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,2,0.0290,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,3,0.0268,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,5,0.0273,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,6,0.0299,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,7,0.0254,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,8,0.0185,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,9,0.0136,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,10,0.0155,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,11,0.0267,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,12,0.0357,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,13,0.0378,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
