site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-01,10,0.4638,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,11,0.4145,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,12,0.4015,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,13,0.4093,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,14,0.4267,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,15,0.4430,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,16,0.4762,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,17,0.5205,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,18,0.7007,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,19,0.9302,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,20,1.1642,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,21,1.3862,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,22,1.4495,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,23,1.1842,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-02,0,0.2400,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,1,0.1878,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,2,0.1795,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,3,0.1780,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,5,0.1768,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,6,0.1827,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,7,0.1963,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,8,0.3220,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,9,0.5162,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,10,0.5565,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,11,0.3972,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,12,0.3200,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,13,0.3283,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,14,0.3437,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,15,0.3357,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,16,0.3538,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,17,0.3673,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,18,0.4285,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,19,0.4528,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,20,0.4376,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,21,0.3843,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,22,0.3433,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,23,0.3266,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-02,0,1.6876,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,1,1.9708,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,2,1.6950,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,3,1.4750,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,5,1.2623,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,6,1.6075,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,7,1.6377,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,14,-0.1430,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,15,-0.1737,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,16,-0.1930,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,17,-0.2175,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,18,-0.1430,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,19,0.0637,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,20,0.0597,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
