site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3781,2016-01-02,19,9.79,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-02,20,9.34,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-02,21,8.67,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-02,22,8.24,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-02,23,7.93,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,0,7.69,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,1,8.05,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,2,7.91,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,3,7.52,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,4,7.30,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,5,7.04,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,6,6.66,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,7,6.37,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,8,7.10,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,9,9.08,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,10,11.21,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,11,12.93,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
3781,2016-01-03,12,14.40,TEMP,Degrees Celsius ( <sup>o</sup>C ),0,y,,H,-99,Fresno-Garland                           
