site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
3781,E,2016-01-01,0,135.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,0,137.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,1,115.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,1,112.90,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,2,95.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,2,102.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,3,82.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,3,80.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,4,63.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,4,72.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,5,63.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,5,55.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,6,57.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,6,63.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,7,52.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,7,55.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,8,27.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,8,26.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,9,13.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,9,18.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,10,9.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,10,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,11,12.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,11,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,12,25.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,12,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,13,18.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,13,21.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,14,16.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,14,18.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,15,17.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,15,15.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,16,19.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,16,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,17,24.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,17,29.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,18,37.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,18,32.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,19,35.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,19,36.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,20,30.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,20,31.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,21,34.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,21,35.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,22,30.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,22,30.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-01,23,38.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-01,23,34.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,0,42.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,1,44.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,1,44.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,2,40.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,2,50.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,3,43.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,3,44.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,4,37.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,4,38.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,5,41.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,5,42.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,6,43.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,6,43.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,7,44.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,7,44.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,8,39.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,8,44.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,9,38.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,9,41.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,10,39.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,10,40.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,11,33.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,11,36.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,12,32.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,12,29.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,13,30.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,13,32.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,14,26.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,14,27.30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,15,27.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,15,28.50,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,16,32.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,16,31.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,17,41.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,17,37.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,18,42.60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,18,41.40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,19,41.80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,19,41.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,20,47.20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,C,2016-01-02,20,48.70,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
3781,E,2016-01-02,21,53.10,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Fresno-Garland                           
