site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840482010416,1,10,20141006T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140910T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140324T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141020T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140317T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140807T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140105T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140424T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140914T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140211T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140827T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140108T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140906T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141229T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141110T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140214T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140603T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141008T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140917T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140702T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140223T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141201T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140806T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140126T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140103T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140814T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141224T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140310T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140320T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140301T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141113T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140731T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140330T0100-0600,42101,60,0,.5,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141120T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140624T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140307T0100-0600,42101,60,0,.4,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141220T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140508T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140519T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140717T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140129T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140916T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140812T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140622T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140104T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141005T0100-0600,42101,60,0,.4,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141218T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140615T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140605T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140425T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140420T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140919T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140826T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141211T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140203T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141114T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140410T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140721T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140614T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140411T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140202T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140531T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140802T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141217T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140423T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141231T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140109T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140801T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140218T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140803T0100-0600,42101,60,0,.5,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141012T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141213T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140926T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140115T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140106T0100-0600,42101,60,0,0,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140711T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140707T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141116T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140506T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140915T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140530T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140511T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141204T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140213T0100-0600,42101,60,0,.5,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140419T0100-0600,42101,60,0,.3,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140311T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141207T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140308T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140125T0100-0600,42101,60,0,.4,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141021T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141128T0100-0600,42101,60,0,.8,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140819T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140512T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141121T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141122T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141015T0100-0600,42101,60,0,.4,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141025T0100-0600,42101,60,0,1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141009T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140525T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141027T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140706T0100-0600,42101,60,0,.5,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141010T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140613T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140305T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141002T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140911T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140824T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140719T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140528T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20140123T0100-0600,42101,60,0,.2,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
840482010416,1,10,20141105T0100-0600,42101,60,0,.1,007,0,1,29.686389,-95.294722,WGS84,10,093,1,.5,,
